basepk,topic,procedural_score,error
2198843,Hansard length and content,0.5,
2198851,international labour conference instruments,0.25,
2199017,jurisdiction over civil contracts,0.5,
2199034,divorce proceedings and marital agreements,0.5,
2199095,commonwealth air defence mission to India,0.0,
2199126,Industrial Research Assistance Program grants,0.0,
2199132,military assistance to India,0.0,
2199141,unemployment insurance commission employment referrals,0.0,
2199145,Auditor General's report debate urgency,0.75,
2199146,public accounts committee investigation,0.25,
2199150,Auditor General's report on public accounts,0.25,
2199151,Auditor General's report examination,0.75,
2199321,unanimous consent for debatable motion,0.75,
2199331,Auditor General's access to taxation files,0.25,
2199332,referral of Auditor General's report to committee,0.75,
2199333,Auditor General's access to departmental files,0.25,
2199334,referral of public accounts to committee,0.5,
2199335,privilege and public accounts committee referral,0.25,
2199343,railway legislation interim measure,0.25,
2199352,adherence to bill subject matter,0.75,
2199402,report on new drugs procedures,0.25,
2199407,national museum development and establishment,0.0,
2199454,Canada's participation in Colombo plan,0.0,
2199511,international affairs and world trade,0.0,
2199518,international disarmament negotiations,0.0,
2199520,Canada's role in UN peacekeeping in the Congo,0.0,
2199563,appointment to Atlantic development board,0.0,
2199576,reading speeches in the house,1.0,
2199654,Canada's role in the United Nations,0.25,
2199658,foreign affairs partisanship,0.5,
2199660,Canada's international prestige,0.25,
2199679,welcome to provincial speakers,0.75,
2199693,Canadian centennial administration and projects,0.0,
2199694,Canadian Centennial celebrations and confederation reform,0.25,
2199699,thalidomide rehabilitation report and recommendations,0.1,
2199757,Japanese herring fishing off Queen Charlotte islands,0.0,
2199772,Canadian foreign and defence policy,0.0,
2199778,Canada-US relations and foreign policy,0.25,
2199780,NATO collective security and partnership,0.25,
2199783,Canada's nuclear weapons commitments,0.25,
2199789,Canadian troops nuclear weapons acquisition,0.0,
2199791,Canadian nuclear weapons commitment to NATO,0.25,
2199793,criticism of NATO commander's views,0.75,
2199801,Canada's nuclear weapons policy and defence pledges,0.0,
2199812,Canadian defence policy and expenditures,0.1,
2199814,acquisition of nuclear weapons for Canadian defence,0.0,
2199824,Canada's nuclear weapons policy,0.1,
2199826,NATO defence policy and collective security,0.0,
2199828,Bomarc missiles and nuclear weapons policy,0.25,
2199848,Canada's defence policy and NATO commitments,0.25,
2199850,Canada's role in NATO and defence,0.25,
2199852,Canada's role in NATO defence,0.1,
2199854,Canada's nuclear policy and NATO,0.0,
2199856,Canadian integrity and international relations,0.25,
2199948,question of privilege on misquotation,0.75,
2199953,Norseman aircraft search and rescue,0.0,
2199979,statistics on bankruptcies and liabilities,0.0,
2199982,juvenile and adult crime statistics,0.0,
2199985,caribou preservation and radioactive fall-out,0.0,
2199994,former members of parliament pension amounts,0.0,
2200007,international commodity agreements,0.0,
2200013,Department of Agriculture staff numbers,0.0,
2200052,sea lamprey control in the great lakes,0.0,
2200284,vocational rehabilitation for epileptics,0.25,
2200304,delay of budget and legislation,0.25,
2200305,national economic development board,0.5,
2200306,national policy and economic development,0.25,
2200316,government spending and national policy,0.25,
2200320,national economic development policy,0.25,
2200376,National Economic Development Board,0.25,
2200379,National Economic Development Board appointments,0.25,
2200381,establishment of an independent economic advisory board,0.25,
2200385,national economic development board and trade,0.25,
2200407,question of privilege regarding delegation access,0.75,
2200489,European Economic Community entry negotiations,0.0,
2200490,UK entry into European common market,0.25,
2200660,board powers to investigate economic problems,0.25,
2200666,National Economic Development Board chair appointment,0.1,
2200668,federal-provincial co-operation on economic development,0.25,
2200694,amendments to divorce petitions,0.5,
2200739,National Economic Development Board amendment,0.25,
2200749,parliamentary debate on productivity council report,0.5,
2200751,consultation on appointments to boards,0.25,
2200773,National Economic Development Board membership,0.25,
2200776,productivity council and board appointments,0.25,
2200802,appointment terms for productivity board chairman,0.25,
2200890,community television microwave relay policy,0.0,
2200899,Canadian Broadcasting Corporation financial data,0.0,
2200902,contracts for building facilities,0.0,
2200909,level crossings and railway traffic diversion in Quebec,0.0,
2200915,CBC program on Italian family in Toronto,0.0,
2200943,classification of subordinate employees,0.0,
2201131,federal-provincial vocational training programs,0.0,
2201213,US intrusion in Canadian defence policy,0.25,
2201216,insinuations about defence statement,0.75,
2201218,Canada-US relations on national defence,0.25,
2201220,Canada-US defence policy clarification,0.25,
2201225,Canada-US relations and communist imperialism,0.25,
2201264,adjournment motion procedural review,0.75,
